mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"
11	KO	04m.1	4	25.0	24.7	25.3	1.012	1.2	134795.0	1.580128384259849	0.10236791356053	0.101404443096865	0.0242668993902985	0.201374947199275	-0.0697271002727961	-0.0121446725040571	0.0998031907948028	-0.116403364008126	-0.0565770995680948	0.07991070311815	-0.156195797606081	0.0868578606538505	0.0656513211631754	0.000871305339321404	-0.0259354658383173	-0.151463901632168	0.0968438901747308	-0.00390487178964025	0.0783337652062731	-0.0119484635695563	0.137315630144606	-0.138055985461673	-0.0165358309110575	-0.00614369767768524	0.260165628663076	-0.0284565840563131	-0.180764870845938	-0.0310023829551107	0.163450066206036	0.0208712529662476	-0.125544820583893	0.126139819621733	0.0269841284129181	-0.0314084997892118	-0.00805899109976033
12	KO	04m.2	4	26.4	23.7	23.9	0.905303	10.23	133513.0	1.0863818207241958	0.0451055970899103	0.0898484165161667	0.213004623608357	0.108383777615438	0.0272348879748177	-0.00872821981037882	-0.04377583517762	-0.0788294500692771	-0.0307877542498277	-0.104079949042836	-0.0129960402945435	0.00399727120050714	-0.0305475463831539	0.0825916087039918	0.0354914409737122	-0.157491523718532	-0.0108844195008872	0.121764721020877	-0.108191371743797	-0.0835023369593915	-0.0970428897135288	-0.130779483734755	0.0350067733498761	0.0115900273652138	-0.0130056102067656	0.0466876396280274	0.0871838004967343	-0.0908948121386736	-0.078526918314206	0.104111128968246	-0.170815398449645	-0.0273049622066675	-0.078163221788889	-0.191763423697389	0.0498372130646029
13	KO	04m.2	4	25.2	22.1	22.1	0.8769841	12.3	142723.0	1.3564975115480227	-0.0419621886202886	0.115072111062687	0.132603565790126	0.00226325672383219	-0.196601145783976	0.107632712002447	-0.0775395071612595	-0.107660183941716	-0.154253402405732	-0.0845041973992691	-0.0589607870299724	0.0105867205105972	-0.120075502935613	-0.0541970529206943	0.0131419353321262	0.000232602412093559	0.199204456261167	0.14442507902577	-0.0490024747930162	0.155895141917229	0.148342550273916	0.162087032528949	-0.0850777780362059	-0.173961254424732	-0.0332690176625801	0.109300598778603	-0.0697468898502674	-0.107202364146763	0.0457923262820362	-0.116070594045495	0.172584491403303	0.00591007631451447	-0.145187872170992	-0.0726124879604522	0.0609484896431648
14	KO	04m.3	4	20.1	18.1	18.9	0.9402985	9.95	146182.0	1.364056492894802	0.0025516433346551	0.0755396048315802	0.0978948715789274	0.108645017174279	0.0808499670831976	-0.0623880691508717	0.0216339767933825	0.0232336571248791	0.134896562816771	-0.110279467501441	-0.0662551142739133	0.110668179772021	0.192664195013273	0.0341891102884572	-0.136894325265886	-0.0159569146924473	-0.0975950688561398	-0.051625361188421	-0.128851344424575	0.0460174308389548	0.139748087087525	-0.138328544720022	-0.157489968936411	-0.0616475791358135	0.0270952610917197	-0.145736394792739	0.0208994209196354	0.153696395823553	-0.192097221560703	0.175865141640034	0.0136602257385684	0.0893505263706445	0.0871635773400673	-0.0971803422579139	0.214481884103662
15	KO	04m.3	4	18.9	18.1	18.1	0.957672	4.23	149748.0	1.319920684309738	0.0406801719206074	0.0688743436727313	0.0952005391131884	0.135159395341619	0.0523060129295695	-0.0169645204926407	0.0190649449691181	-0.124207354389829	-0.0575474486669754	0.0883363804733902	0.184666002165795	-0.0199107620989127	0.0916968324491965	0.0119694892492026	-0.0748483270091591	0.180442214825212	-0.169217756557109	0.136118761205723	-0.137639498402899	0.0351179281433251	-0.00735205069083425	-0.0981676642732385	0.0915366329860452	-0.015039055333079	0.0601892979241446	0.0797049683348972	0.109918575995773	-0.0184017052841658	-0.0425783978016701	-0.229999290622488	0.221586413549734	0.0108300941140681	0.123629099213264	0.041934860619663	0.111176933508495
16	KO	04m.4	4	19.4	15.1	15.3	0.7886598	22.16	129431.0	1.3403181990323674	0.19612827739969	0.0354762131243822	0.0597866830589468	-0.145183145311245	-0.0168431083207263	0.15235663584478	-0.11599881939904	0.071659452625378	-0.0552203598073367	-0.00310526513761846	0.103076876717782	0.0472963113319535	-0.113704902334087	0.0332572804835911	-0.0328522185828589	-0.291077648877018	-0.134598103192994	-0.177815193901148	-0.0265770832375632	0.133433540211775	0.0497266770018008	-0.153635778379502	0.117549612554992	0.170578343296808	-0.0276899911321005	0.00856742106312407	-0.0358511926356275	0.0295456200030692	0.0166838109150053	-0.0268597750322312	0.106245278634101	0.161144046991649	0.200503821078902	0.101370333169017	-0.163430936260455
17	KO	04m.4	4	20.2	18.2	18.4	0.91089106	9.9	158135.0	1.3556660030463652	0.137112170231017	0.045697101732377	0.0879245347244558	0.0711728998281729	-0.0225176559821861	-0.196320778172827	0.105991536965756	-0.0103328607639405	0.0357204367118284	0.0338438615517674	0.0698810830272024	-0.0679253813902273	-0.135178629154418	0.0793054952321479	-0.132244132462395	-0.056040852460726	0.0624479490699988	0.253271387001868	-0.135242064684542	-0.223245932416469	0.103404857677576	0.334520591550825	0.115231454260198	0.115774837818763	0.15194172758241	-0.0706369980086266	-0.00822808086783576	-0.207437830147681	-0.0141650581082137	0.0674801166002579	-0.0422279271819933	0.0883785651642765	0.00672366041932827	-0.215692651287216	-0.166487380364113
18	KO	12m.1	12	25.0	22.5	22.5	0.9	10.0	157066.0	1.4677096153189173	0.0863739826873352	-0.16783995442548	0.116724920587895	0.0113607690661333	-0.0145773823036786	0.0822123885161729	0.0285063990760738	-0.142214189676465	0.0255911655341015	0.0158070381143913	0.266153302048027	0.0202099359415129	-0.231251260749611	-0.118865184607944	0.0413638900806559	-0.151506896555748	0.0735818200453105	-0.0919167751520511	-0.0991467605174516	-0.158624391465332	0.172722067171534	-0.158081492027099	0.0704828602091694	-0.1619461344537	-0.0739019148359825	-0.0698399900952458	0.0174655985938141	-0.0300909510506072	0.016391396319416	-0.0778838390201903	-0.115073949881477	-0.101726872283859	0.0839634357994451	-0.0769676481207029	-0.0132230793505061
19	KO	12m.1	12	26.6	21.6	22.1	0.83082706	18.8	165862.0	1.15636160472557	-0.14528288130818	-0.164790869090262	0.317733449145224	0.0656297509682746	-0.0993445699858525	0.116688763122833	-0.0284860647906144	0.0177108217071834	0.097564262091715	0.319549729856566	0.130193916275471	0.118345209657729	-0.0183731541902586	0.176176402715838	-0.151427616950982	-0.0149400975218456	-0.122602653637734	0.126793741060252	-0.0567479361238338	-0.13209265764305	-0.136772147836797	0.123903091077233	0.0163889916471632	0.0658483997973619	0.0108020454683347	0.0189098747326839	-0.0639206801236575	0.0702236313703904	-0.0218414205596344	0.0692429273633694	-0.0393919994194621	0.00933773419380828	-0.0159152585743569	-0.0219959529391643	-0.0394985739033006
20	KO	12m.2	12	19.1	16.8	16.8	0.8795811	12.04	181427.0	1.2087153069620473	-0.15153608571082	-0.160885864601425	0.155162280343534	0.100912873377637	0.0764807632400499	-0.078815962531448	0.0201769789964086	0.120550499270878	0.113816692792146	-0.121068129890457	-0.0928596817445235	-0.10862698653572	-0.0738783197979976	-0.114475144944725	-0.070146102035388	-0.126220061218401	-0.0332776800657673	-0.0787196924020343	0.0173087526616313	0.057698472168344	-0.0569407290124294	-0.123310308170875	0.112689981334352	-0.153142955960116	0.124451256459502	0.147048841051493	0.0259222273911823	-0.135938056720118	0.12746610564753	-0.159786230303231	0.0370388050166094	0.0158822857842374	-0.0514515183967445	-0.112013794735798	-0.0645079119394042
