mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Spirochaetes;c__[Leptospirae]	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__CK-1C4-19	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
26	KO	18m.1	18	23.0	17.8	18.0	0.7826087	22.61	142881.0	1.4219375407788855	0.0	4.060353276397208	4.2687513491971005	1.4428976410285073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.270014777012389	0.0	3.9592946999786154	4.421746524586957	4.754706732634737	0.0	0.270014777012389	0.0	0.9424721011940962	2.81304651322376	0.6482235511479714	0.43525508849327715	0.0	1.6772064761411627	0.0	1.5393756001828676	0.0
27	KO	18m.1	18	23.4	16.1	17.1	0.7307693	31.2	131717.0	1.5541101172765042	0.0	4.115647729150243	4.100188826555416	3.998186600237723	0.0	0.0	0.0	0.0	0.0	1.2945650633260986	0.0	1.4343497439502841	0.28673128462410635	4.054205785231438	4.256946890186821	4.761925776358387	0.0	0.0	0.9739133883237192	1.9489558569221808	1.9254923386895306	0.0	0.7540516421391805	0.0	1.777565456530588	0.0	2.0005805433633874	0.0
28	KO	18m.2	18	23.9	17.5	18.8	0.78661084	26.78	134836.0	1.5005534319491425	0.0	4.146636358812092	3.825979761630444	3.954632783914009	0.0	0.0	0.0	0.0	0.0	0.6678602587678822	0.0	1.4534364258774342	0.8116785149405705	4.114538972244679	4.296953076546195	4.780111975964116	0.0	0.0	0.6678602587678822	1.8588984381839622	1.9296761092323045	0.6678602587678822	0.7456956267821767	0.0	1.812588208077322	0.0	1.9905192030585166	0.2818490674332266
29	KO	18m.3	18	18.0	14.0	14.3	0.79444444	22.22	123613.0	1.4580800910539926	0.0	4.240264045995019	3.6111717033604305	4.054941007857185	0.0	0.47611744689133023	0.0	0.0	0.0	0.6009305442280038	0.0	1.3787675373231465	0.776896127654713	3.927094254589079	4.061225910683627	4.8283052002047	0.0	0.0	1.6419803919741758	2.4981852753963723	1.8793268665700422	0.776896127654713	0.3002773573909661	0.0	1.776669819834855	0.0	2.20262283190639	3.3745232335022894
30	KO	18m.3	18	19.2	18.4	19.1	0.9947916	4.17	139002.0	1.6598143208542337	0.0	3.9151840861638902	3.8214455672428516	4.118388480750681	0.0	0.0	0.0	0.0	0.0	1.7613069305058706	0.0	1.8876962585177848	0.6575184956958708	3.921039750353202	4.517450069981217	4.687702766760565	0.0	0.0	1.9733681355404749	2.0619086078487068	2.591115908449728	2.3261676743148936	0.6575184956958708	0.0	2.121096875801594	0.0	2.578094964321064	3.5764491840949795
31	WT	00m.1	0	24.0	20.2	20.2	0.8416667	15.83	116006.0	0.900724399056057	0.0	3.0472423052472566	3.8589653372937422	3.4366758209238477	0.0	0.0	0.0	0.0	0.0	1.5438234140008371	0.0	2.1330893042455785	0.0	2.6114720964543374	4.309603158611101	4.953821759645963	0.31426424616776927	0.0	0.31426424616776927	1.7157563604014838	3.028217988569745	0.0	0.49467879490514527	0.0	1.1703935415141176	0.0	1.9602811644870892	0.31426424616776927
32	WT	00m.1	0	24.6	17.8	18.8	0.7642276	27.64	116451.0	0.8868107866153816	0.0	3.114300150686509	4.015992377739703	3.4834968815915346	0.0	0.0	0.0	0.0	0.0	0.31340870351465305	0.0	1.8933251209187196	0.0	2.2819617316408536	4.130739394419196	4.967789856579206	0.0	0.0	0.9245265449070905	1.7643451653809346	3.2247025548812376	0.0	0.31340870351465305	0.0	1.500743514565803	0.0	1.8021697314473082	0.31340870351465305
33	WT	00m.1	0	23.1	21.5	21.6	0.9350649	6.93	141414.0	1.0032157896592766	0.0	3.445913242296675	3.7794896512249907	3.5483930362865794	0.0	0.0	0.0	0.0	0.0	0.9872613912399211	0.0	1.4334950630282428	0.2720956686379934	3.3107906195222503	4.345396965770256	4.933576987400499	0.0	0.0	0.9013904285312725	1.6655519308114093	2.8052567997838307	0.0	0.2720956686379934	0.0	1.0907596361678553	0.0	1.9700491501787256	0.2720956686379934
34	WT	00m.2	0	23.8	20.8	20.8	0.8739496	12.61	123512.0	0.9060838276850907	0.0	3.5670504449507305	3.851084510687884	3.7475017083480107	0.0	0.0	0.0	0.0	0.0	0.6980489761375848	0.0	0.9532190240981268	0.6011965846519506	2.94184931743897	4.092410259758838	4.969590353936535	0.0	0.0	1.2030404558392678	1.8796771738632134	2.2636724991450574	0.0	0.7771918035891927	0.0	1.112880453935225	0.0	1.3968345402097269	0.30045458197881747
35	WT	00m.2	0	23.1	20.0	20.5	0.88744587	13.42	111254.0	1.0206788384915368	0.0	3.084410211137826	3.667377786098154	3.9455314664474996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1442785119115566	0.5071108398134241	2.4590534658055696	4.376314683157697	4.91852599704815	0.0	0.0	0.6356567507032076	2.2769919868720603	3.0727737949940654	0.0	0.6356567507032076	0.0	0.8832890018521995	0.0	1.1549375479247486	0.3237140868385259
